dataset_id	dataset_role	repository	accession	publication_title	publication_doi	repository_record_url	downloaded_object_filename	actual_download_url	checksum_scope	species	tissue	tissue_status	label_column	cells	labeled_cells	unknown_cells	unknown_fraction	readable	integrity_status	root_panel_status	root_accepted	root_reason	root_candidate_label_count	root_labels_ge_100_cells	root_candidate_cells	leaf_panel_status	leaf_accepted	leaf_reason	leaf_candidate_label_count	leaf_labels_ge_100_cells	leaf_candidate_cells	vascular_panel_status	vascular_accepted	vascular_reason	vascular_candidate_label_count	vascular_labels_ge_100_cells	vascular_candidate_cells	source_path	source_sha256	provenance_version	direct_source_object_path	direct_source_object_sha256	gap_flags
Arabidopsis thaliana_CNP0002469	discovery_resource	CNCB-NGDC	CNP0002469			https://ngdc.cncb.ac.cn/			metadata_and_derived_records_only	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	69520	67966	1554	0.022353279631760644	True	readable	exclude	False	official_source_metadata_not_resolved;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	official_source_metadata_not_resolved	4	4	65078	exclude	False	official_source_metadata_not_resolved	2	2	3563	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_CNP0004389	discovery_resource	CNCB-NGDC	CNP0004389			https://ngdc.cncb.ac.cn/			metadata_and_derived_records_only	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	102713	60335	42378	0.41258652750868924	True	readable	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;official_source_metadata_not_resolved;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;official_source_metadata_not_resolved;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;official_source_metadata_not_resolved;fewer_than_two_candidate_labels_with_100_cells	0	0	0	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_EMTAB11006	discovery_resource	BioStudies/ArrayExpress	E-MTAB-11006			https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11006			metadata_and_derived_records_only	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	1560	1560	0	0.0	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	3	3	452	exclude	False	fewer_than_two_candidate_labels_with_100_cells	1	1	161	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_EMTAB12532	discovery_resource	BioStudies/ArrayExpress	E-MTAB-12532			https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12532			metadata_and_derived_records_only	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	13957	11303	2654	0.1901554775381529	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_EMTAB9174	discovery_resource	BioStudies/ArrayExpress	E-MTAB-9174			https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-9174			metadata_and_derived_records_only	Arabidopsis thaliana	not explicitly recorded in source; annotation labels include flower meristem and anther	recorded	celltype_after	1348	1320	28	0.020771513353115726	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_PRJCA003094	discovery_resource	CNCB-NGDC	PRJCA003094			https://ngdc.cncb.ac.cn/			metadata_and_derived_records_only	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	35199	30725	4474	0.12710588368987755	True	readable	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_PRJCA016521_Root	discovery_resource	CNCB-NGDC	PRJCA016521			https://ngdc.cncb.ac.cn/			metadata_and_derived_records_only	Arabidopsis thaliana	root	recorded	celltype_after	54273	43340	10933	0.20144454885486338	True	readable	candidate_include	True	passes_provisional_panel_gates	7	7	24642	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	3	3	7773	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_PRJCA016521_Shoot	discovery_resource	CNCB-NGDC	PRJCA016521			https://ngdc.cncb.ac.cn/			metadata_and_derived_records_only	Arabidopsis thaliana	shoot	recorded	celltype_after	35503	27547	7956	0.22409373855730502	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	1	1	7846	candidate_include	True	passes_provisional_panel_gates	4	4	6009	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_PRJCA021408_Root	discovery_resource	CNCB-NGDC	PRJCA021408			https://ngdc.cncb.ac.cn/			metadata_and_derived_records_only	Arabidopsis thaliana	root	recorded	celltype_after	21616	17803	3813	0.17639711324944485	True	readable	candidate_include	True	passes_provisional_panel_gates	4	4	17803	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
Arabidopsis thaliana_PRJCA021408_Shoot	discovery_resource	CNCB-NGDC	PRJCA021408			https://ngdc.cncb.ac.cn/			metadata_and_derived_records_only	Arabidopsis thaliana	shoot	recorded	celltype_after	68134	41978	26156	0.3838905685854346	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	2	2	28402	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/resource_inventory_20260910/audit_datasets.csv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	resource_inventory_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1;publication_doi_not_resolved_for_discovery_inventory;actual_download_url_not_retained_for_discovery_object
